Age,City,County,State,Sex,Race / Ethnicity
40.0,Chicago,McCook,Illinois,Female,"White / Caucasian, Hispanic / Latino, Asian, Uncertain"
19.0,Baltimore,Baltimore,Maryland,Female,Uncertain
50.0,Brooklyn,Brookings,New York,Male,Black / African American
40.0,Branson,Stanley,Missouri,Male,White / Caucasian
21.0,Darlington,Bergen,New Jersey,Female,Uncertain
50.0,Queens,Queens,New York,Male,Black / African American
16.0,Dallas,Dallas,Texas,Male,Uncertain
60.0,Los Angeles,Los Angeles,California,Male,Hispanic / Latino
19.0,Flint,Anne Arundel,Maryland,Male,Black / African American
45.0,Tucson,Yakima,Arizona,Male,White / Caucasian
45.0,Phoenix,Maricopa,Arizona,Female,White / Caucasian
55.0,Brooklyn,Brookings,New York,Male,Black / African American
20.0,Sausalito,Marin,California,Male,Black / African American
30.0,Alpine,Bergen,New Jersey,Male,Uncertain
20.0,Shiprock,San Juan,New Mexico,Female,"Hispanic / Latino, American Indian / Alaska Native"
50.0,Manhattan,York,New York,Male,Black / African American
25.0,Philadelphia,Philadelphia,Pennsylvania,Male,"White / Caucasian, Black / African American"
20.0,Lakeland,Maricopa,Arizona,Male,Hispanic / Latino
25.0,Ocala,Los Angeles,California,Female,"White / Caucasian, Hispanic / Latino, Asian"
16.0,Canton,Doña Ana,New Mexico,Male,Hispanic / Latino
35.0,Manhattan,York,New York,Male,Hispanic / Latino
24.0,Victorville,San Bernardino,California,Female,Uncertain
31.0,Wayne,Miami-Dade,Florida,Male,Black / African American
19.0,Oshkosh,Winnebago,Wisconsin,Female,White / Caucasian
21.0,Los Angeles,Los Angeles,California,Male,"White / Caucasian, Uncertain"
16.0,Mansfield,Pinal,Arizona,Male,"White / Caucasian, Hispanic / Latino"
19.0,Atlantic City,Atlantic,New Jersey,Male,White / Caucasian
40.0,Manhattan,York,New York,Male,"White / Caucasian, Hispanic / Latino"
25.0,Hickory,Davidson,Tennessee,Female,White / Caucasian
27.0,Tacoma,Pierce,Washington,Male,"White / Caucasian, Uncertain"
40.0,Palatka,Putnam,Florida,Female,"White / Caucasian, Hispanic / Latino"
45.0,York,York,New York,Male,"White / Caucasian, Hispanic / Latino"
20.0,San Antonio,Bexar,Texas,Female,"Hispanic / Latino, Asian"
56.0,Elmira,Maricopa,Arizona,Female,White / Caucasian
18.0,Lancaster,Los Angeles,California,Male,"Black / African American, Uncertain"
40.0,Houston,Harris,Texas,Male,White / Caucasian
40.0,Philadelphia,Philadelphia,Pennsylvania,Male,"White / Caucasian, Hispanic / Latino"
34.0,Washington,District of Columbia,District of Columbia,Male,Black / African American
25.0,Philadelphia,Philadelphia,Pennsylvania,Female,Black / African American
37.0,Seattle,Rockingham,Washington,Male,White / Caucasian
35.0,Los Angeles,Los Angeles,California,Male,Hispanic / Latino
40.0,Los Angeles,Los Angeles,California,Male,Hispanic / Latino
50.0,Chicago,McCook,Illinois,Female,Black / African American
35.0,Franklin,Williamson,Tennessee,Male,"White / Caucasian, Hispanic / Latino, Uncertain"
35.0,Brooklyn,Brookings,New York,Male,Hispanic / Latino
19.0,Baltimore,Baltimore,Maryland,Female,Hispanic / Latino
54.0,Winston-Salem,Forsyth,North Carolina,Female,White / Caucasian
40.0,Detroit,Wayne,Michigan,Male,Hispanic / Latino
50.0,Manhattan,York,New York,Male,Hispanic / Latino
27.0,Jacksonville,Duval,Florida,Male,White / Caucasian
50.0,Modesto,Dallas,Texas,Female,Uncertain
35.0,Brooklyn,Brookings,New York,Male,Hispanic / Latino
